Model,K,Training Accuracy,Variance,Test Accuracy,Bias
Logistic Regression,3,0.8179749732993442,1.8381996784409718e-05,0.8187117243414742,-0.0007367510421300016
K-Nearest Neighbors,3,0.8228449154984774,1.0732530838836846e-05,0.8253523205194422,-0.0025074050209648036
Support Vector Machine,3,0.8436848381138292,2.118876542613223e-06,0.8439459898177525,-0.00026115170392326803
Decision Tree,3,0.8031750063500128,6.145203517811747e-06,0.8105954401239578,-0.007420433773944968
Logistic Regression,4,0.8182279273557918,1.8174645426979283e-05,0.8187117243414742,-0.0004837969856824609
K-Nearest Neighbors,4,0.8238252382957051,8.175799415080066e-06,0.8253523205194422,-0.0015270822237370973
Support Vector Machine,4,0.843811320012039,1.0139706909173751e-05,0.8439459898177525,-0.0001346698057135276
Decision Tree,4,0.8062427266427327,1.9471245395864105e-05,0.8105954401239578,-0.004352713481225123
Logistic Regression,5,0.818512728972757,3.023472036830348e-05,0.8187117243414742,-0.00019899536871725854
K-Nearest Neighbors,5,0.8238570024975436,1.3391323764380544e-05,0.8253523205194422,-0.0014953180218986173
Support Vector Machine,5,0.8444439227686484,8.727904868597509e-06,0.8439459898177525,0.0004979329508959518
Decision Tree,5,0.8081715380019151,4.119192515826533e-06,0.8105954401239578,-0.002423902122042687
Logistic Regression,6,0.8182598061715369,3.6471555056493616e-05,0.8187117243414742,-0.00045191816993728207
K-Nearest Neighbors,6,0.8239518777994855,3.342664250333542e-05,0.8253523205194422,-0.0014004427199566516
Support Vector Machine,6,0.8445703886661121,1.9947710710788446e-05,0.8439459898177525,0.0006243988483596308
Decision Tree,6,0.8068434313707491,3.129878282566901e-05,0.8105954401239578,-0.003752008753208691
Logistic Regression,7,0.818196646350491,3.3655122063929855e-05,0.8187117243414742,-0.0005150779909831593
K-Nearest Neighbors,7,0.8229716189411613,1.471390075132179e-05,0.8253523205194422,-0.0023807015782808527
Support Vector Machine,7,0.8436218474440613,2.2213874160388385e-05,0.8439459898177525,-0.00032414237369116083
Decision Tree,7,0.8067486529419183,2.4357109345698024e-05,0.8105954401239578,-0.0038467871820394572
Logistic Regression,8,0.8181647788257983,3.8433460686242324e-05,0.8187117243414742,-0.0005469455156759118
K-Nearest Neighbors,8,0.823635515574703,2.169177455082739e-05,0.8253523205194422,-0.0017168049447391365
Support Vector Machine,8,0.8445704800894314,1.9411274731879855e-05,0.8439459898177525,0.0006244902716788792
Decision Tree,8,0.8078550322693471,5.4874891453928e-05,0.8105954401239578,-0.002740407854610716
Logistic Regression,9,0.8181647773510893,4.1404796720216715e-05,0.8187117243414742,-0.0005469469903849333
K-Nearest Neighbors,9,0.8240148087879281,3.4316855734295214e-05,0.8253523205194422,-0.001337511731514085
Support Vector Machine,9,0.8448864863428641,2.7105763309268683e-05,0.8439459898177525,0.0009404965251116337
Decision Tree,9,0.8058945724338806,1.3809398912933994e-05,0.8105954401239578,-0.0047008676900771595
Logistic Regression,10,0.8182284170845578,7.7018595524807e-05,0.8187117243414742,-0.00048330725691636545
K-Nearest Neighbors,10,0.8237306734673104,4.5080560929997806e-05,0.8253523205194422,-0.0016216470521317472
Support Vector Machine,10,0.8439697078590751,4.1227384138682354e-05,0.8439459898177525,2.37180413226179e-05
Decision Tree,10,0.8056732323435325,4.1560873065803404e-05,0.8105954401239578,-0.004922207780425292
Logistic Regression,11,0.818164753645193,8.413322450488166e-05,0.8187117243414742,-0.0005469706962811793
K-Nearest Neighbors,11,0.8236987575675059,5.628734018064364e-05,0.8253523205194422,-0.0016535629519363049
Support Vector Machine,11,0.8444755625603405,6.734930805980173e-05,0.8439459898177525,0.0005295727425880248
Decision Tree,11,0.8075070978460286,4.668185788315313e-05,0.8105954401239578,-0.0030883422779292014
Logistic Regression,12,0.818133619642972,6.829844550447726e-05,0.8187117243414742,-0.0005781046985021687
K-Nearest Neighbors,12,0.8236992371474998,6.385109440034228e-05,0.8253523205194422,-0.0016530833719423654
Support Vector Machine,12,0.8445707347014385,3.501316212879249e-05,0.8439459898177525,0.0006247448836860237
Decision Tree,12,0.805294316806462,5.874700261937456e-05,0.8105954401239578,-0.005301123317495771
Logistic Regression,13,0.8179121899081621,7.647391730649747e-05,0.8187117243414742,-0.0007995344333121546
K-Nearest Neighbors,13,0.8232877191734433,4.844312825590321e-05,0.8253523205194422,-0.00206460134599884
Support Vector Machine,13,0.8444756207244851,6.483052818605437e-05,0.8439459898177525,0.0005296309067326366
Decision Tree,13,0.8090884281746764,7.77268864972494e-05,0.8105954401239578,-0.0015070119492813783
Logistic Regression,14,0.8181016006551775,8.300677090247173e-05,0.8187117243414742,-0.0006101236862967596
K-Nearest Neighbors,14,0.8233824021752908,3.769268903230839e-05,0.8253523205194422,-0.001969918344151389
Support Vector Machine,14,0.8443174453058743,3.372445453547658e-05,0.8439459898177525,0.00037145548812178575
Decision Tree,14,0.8067485845558675,4.418423553771148e-05,0.8105954401239578,-0.0038468555680902794
Logistic Regression,15,0.8183548324115587,9.170381299115019e-05,0.8187117243414742,-0.0003568919299155038
K-Nearest Neighbors,15,0.8228767467157561,4.2920799559276924e-05,0.8253523205194422,-0.0024755738036861263
Support Vector Machine,15,0.844602332283347,4.9014779679338136e-05,0.8439459898177525,0.0006563424655945393
Decision Tree,15,0.8086778779178659,7.923430416037602e-05,0.8105954401239578,-0.0019175622060918496
Logistic Regression,16,0.8183554193058227,0.00010840049779107188,0.8187117243414742,-0.0003563050356515385
K-Nearest Neighbors,16,0.8237310037086413,7.563654615862819e-05,0.8253523205194422,-0.0016213168108009102
Support Vector Machine,16,0.8442230194299218,5.5975903181706425e-05,0.8439459898177525,0.00027702961216935496
Decision Tree,16,0.809246891504324,3.996800891403092e-05,0.8105954401239578,-0.0013485486196337382
Logistic Regression,17,0.8182912956484529,0.0001464651649595299,0.8187117243414742,-0.0004204286930212797
K-Nearest Neighbors,17,0.8229716226508977,8.439397139779901e-05,0.8253523205194422,-0.0023806978685444458
Support Vector Machine,17,0.8443492222425015,5.936025274177486e-05,0.8439459898177525,0.00040323242474904486
Decision Tree,17,0.808076649737394,9.772809152683048e-05,0.8105954401239578,-0.002518790386563774
Logistic Regression,18,0.818481794699929,0.00013628037034515893,0.8187117243414742,-0.00022992964154522344
K-Nearest Neighbors,18,0.8236678156304889,8.942220882581384e-05,0.8253523205194422,-0.001684504888953331
Support Vector Machine,18,0.8441597172073899,6.196821461758919e-05,0.8439459898177525,0.00021372738963743032
Decision Tree,18,0.8065906817823978,0.00011522684781716319,0.8105954401239578,-0.00400475834156
Logistic Regression,19,0.818070790932633,0.00010399492875501058,0.8187117243414742,-0.0006409334088411933
K-Nearest Neighbors,19,0.8232246986358829,5.968144432099916e-05,0.8253523205194422,-0.0021276218835593053
Support Vector Machine,19,0.844886840281577,7.099973940287058e-05,0.8439459898177525,0.0009408504638245274
Decision Tree,19,0.8101960196532565,9.744099383041826e-05,0.8105954401239578,-0.00039942047070129494
Logistic Regression,20,0.8185128833149019,0.00011912763260853363,0.8187117243414742,-0.00019884102657230507
K-Nearest Neighbors,20,0.8241735575189253,6.765770183612428e-05,0.8253523205194422,-0.0011787630005168914
Support Vector Machine,20,0.8444442578630081,8.730392015316747e-05,0.8439459898177525,0.0004982680452556565
Decision Tree,20,0.808235138188875,6.107540066198095e-05,0.8105954401239578,-0.0023603019350827426
