Model,K,Training Accuracy,Variance,Test Accuracy,Bias
Logistic Regression,3,0.9549223579074325,0.00045471603556349245,1.0,-0.04507764209256748
K-Nearest Neighbors,3,0.8098145635459068,0.0007248613639994594,0.7906976744186046,0.01911688912730214
Support Vector Machine,3,0.9447459671340268,0.0018846986417546108,0.9767441860465116,-0.03199821891248478
Decision Tree,3,1.0,0.0,1.0,0.0
Logistic Regression,4,0.965,0.0004750000000000008,1.0,-0.03500000000000003
K-Nearest Neighbors,4,0.8300000000000001,0.0016999999999999988,0.7906976744186046,0.03930232558139546
Support Vector Machine,4,0.95,0.0010999999999999992,0.9767441860465116,-0.02674418604651163
Decision Tree,4,1.0,0.0,1.0,0.0
Logistic Regression,5,0.97,0.0008499999999999995,1.0,-0.030000000000000027
K-Nearest Neighbors,5,0.85,0.004249999999999999,0.7906976744186046,0.059302325581395365
Support Vector Machine,5,0.9550000000000001,0.0010999999999999996,0.9767441860465116,-0.021744186046511516
Decision Tree,5,1.0,0.0,1.0,0.0
Logistic Regression,6,0.9702911467617351,0.0011713196414884575,1.0,-0.029708853238264887
K-Nearest Neighbors,6,0.8091206179441475,0.00700790453202113,0.7906976744186046,0.018422943525542856
Support Vector Machine,6,0.9600415923945337,0.0011137951462476998,0.9767441860465116,-0.016702593651977904
Decision Tree,6,1.0,0.0,1.0,0.0
Logistic Regression,7,0.9697396199859255,0.000881766960952159,1.0,-0.030260380014074495
K-Nearest Neighbors,7,0.8492258972554539,0.008145263492569735,0.7906976744186046,0.05852822283684933
Support Vector Machine,7,0.9597114707952147,0.0008661051355435035,0.9767441860465116,-0.017032715251296904
Decision Tree,7,1.0,0.0,1.0,0.0
Logistic Regression,8,0.975,0.0007749999999999999,1.0,-0.025000000000000022
K-Nearest Neighbors,8,0.855,0.0031749999999999986,0.7906976744186046,0.06430232558139537
Support Vector Machine,8,0.96,0.0011999999999999988,0.9767441860465116,-0.016744186046511622
Decision Tree,8,1.0,0.0,1.0,0.0
Logistic Regression,9,0.9749670619235837,0.0005016655643911177,1.0,-0.025032938076416267
K-Nearest Neighbors,9,0.8194993412384716,0.008849449990539528,0.7906976744186046,0.028801666819866956
Support Vector Machine,9,0.9598155467720686,0.002038775797153525,0.9767441860465116,-0.01692863927444299
Decision Tree,9,1.0,0.0,1.0,0.0
Logistic Regression,10,0.9749999999999999,0.0006250000000000011,1.0,-0.025000000000000133
K-Nearest Neighbors,10,0.85,0.006,0.7906976744186046,0.059302325581395365
Support Vector Machine,10,0.9599999999999997,0.0024000000000000007,0.9767441860465116,-0.016744186046511844
Decision Tree,10,1.0,0.0,1.0,0.0
Logistic Regression,11,0.9699627857522594,0.0013136767942442428,1.0,-0.03003721424774064
K-Nearest Neighbors,11,0.8551302498670921,0.005711724254492657,0.7906976744186046,0.06443257544848746
Support Vector Machine,11,0.9598617756512493,0.0017271684358060606,0.9767441860465116,-0.01688241039526228
Decision Tree,11,1.0,0.0,1.0,0.0
Logistic Regression,12,0.984375,0.000732421875,1.0,-0.015625
K-Nearest Neighbors,12,0.8535539215686274,0.009256130454632834,0.7906976744186046,0.0628562471500228
Support Vector Machine,12,0.9592524509803922,0.0020600362540849674,0.9767441860465116,-0.01749173506611934
Decision Tree,12,1.0,0.0,1.0,0.0
Logistic Regression,13,0.9846153846153847,0.0007889546351084809,1.0,-0.01538461538461533
K-Nearest Neighbors,13,0.8730769230769232,0.009283160749506903,0.7906976744186046,0.08237924865831858
Support Vector Machine,13,0.9599358974358976,0.0036579552925706756,0.9767441860465116,-0.01680828861061401
Decision Tree,13,1.0,0.0,1.0,0.0
Logistic Regression,14,0.9748299319727892,0.0018705169142486928,1.0,-0.02517006802721078
K-Nearest Neighbors,14,0.8789115646258504,0.006192790041186544,0.7906976744186046,0.0882138902072458
Support Vector Machine,14,0.9602040816326533,0.0025546068767643114,0.9767441860465116,-0.016540104413858336
Decision Tree,14,1.0,0.0,1.0,0.0
Logistic Regression,15,0.9798534798534799,0.001117685733070347,1.0,-0.020146520146520075
K-Nearest Neighbors,15,0.8633699633699636,0.010320278012585705,0.7906976744186046,0.07267228895135902
Support Vector Machine,15,0.9600732600732601,0.002867876933810999,0.9767441860465116,-0.016670925973251483
Decision Tree,15,1.0,0.0,1.0,0.0
Logistic Regression,16,0.984375,0.0010579427083333343,1.0,-0.015625
K-Nearest Neighbors,16,0.8573717948717949,0.011616021531886914,0.7906976744186046,0.06667412045319032
Support Vector Machine,16,0.9595352564102564,0.0025102664262820506,0.9767441860465116,-0.0172089296362552
Decision Tree,16,1.0,0.0,1.0,0.0
Logistic Regression,17,0.9795008912655971,0.0013690697474906355,1.0,-0.02049910873440286
K-Nearest Neighbors,17,0.8640819964349377,0.010954941043019053,0.7906976744186046,0.07338432201633305
Support Vector Machine,17,0.9598930481283423,0.0034486894741691844,0.9767441860465116,-0.01685113791816928
Decision Tree,17,1.0,0.0,1.0,0.0
Logistic Regression,18,0.9797979797979798,0.0014284256708499143,1.0,-0.02020202020202022
K-Nearest Neighbors,18,0.859006734006734,0.010350594893945061,0.7906976744186046,0.06830905958812938
Support Vector Machine,18,0.9600168350168351,0.0038376540375698615,0.9767441860465116,-0.016727351029676485
Decision Tree,18,1.0,0.0,1.0,0.0
Logistic Regression,19,0.979425837320574,0.0015906229252993292,1.0,-0.020574162679426022
