Model,K,Training Accuracy,Variance,Test Accuracy,Bias
Logistic Regression,3,0.9878005936156037,2.380506140882157e-07,0.9882409475082681,-0.0004403538926643913
K-Nearest Neighbors,3,0.9955297110666909,9.862516194037157e-08,0.9960426265652825,-0.0005129154985916706
Support Vector Machine,3,0.9932400508813375,1.75235778804788e-07,0.9939226050823982,-0.00068255420106067
Decision Tree,3,0.9967532860863771,1.4382836116300374e-08,0.9971167707832773,-0.0003634846969001737
Logistic Regression,4,0.9880307669800025,6.317816279808399e-07,0.9882409475082681,-0.00021018052826560218
K-Nearest Neighbors,4,0.9958325767557791,1.8433464845768997e-07,0.9960426265652825,-0.0002100498095034542
Support Vector Machine,4,0.9935429105522544,6.860555187582154e-08,0.9939226050823982,-0.0003796945301437482
Decision Tree,4,0.996983465765401,3.4327438015459874e-07,0.9971167707832773,-0.00013330501787633953
Logistic Regression,5,0.9878005936156035,7.0094311521906e-07,0.9882409475082681,-0.00044035389266461333
K-Nearest Neighbors,5,0.9958689199830395,1.9284741486556124e-07,0.9960426265652825,-0.00017370658224302726
Support Vector Machine,5,0.9937125204433943,2.8971141319983054e-07,0.9939226050823982,-0.0002100846390038491
Decision Tree,5,0.9969955781694833,2.151554872092026e-07,0.9971167707832773,-0.00012119261379406332
Logistic Regression,6,0.9881761384035642,4.857129365442059e-07,0.9882409475082681,-6.48091047038557e-05
K-Nearest Neighbors,6,0.995941593073011,2.562192170962055e-07,0.9960426265652825,-0.00010103349227152947
Support Vector Machine,6,0.9938094297835147,2.597297106370248e-07,0.9939226050823982,-0.00011317529888343891
Decision Tree,6,0.9970803649845325,4.111860293887071e-07,0.9971167707832773,-3.640579874486516e-05
Logistic Regression,7,0.9882246079792752,1.671307127816988e-06,0.9882409475082681,-1.633952899282587e-05
K-Nearest Neighbors,7,0.995990059563853,3.8574908819623477e-07,0.9960426265652825,-5.256700142952653e-05
Support Vector Machine,7,0.9938336616366115,3.8781479933573e-07,0.9939226050823982,-8.894344578669333e-05
Decision Tree,7,0.9969471135864746,3.616657236473127e-07,0.9971167707832773,-0.0001696571968027305
Logistic Regression,8,0.9882367224349229,1.432227080894079e-06,0.9882409475082681,-4.225073345187624e-06
K-Nearest Neighbors,8,0.9960627493896438,8.617007075108613e-07,0.9960426265652825,2.012282436125723e-05
Support Vector Machine,8,0.9938821177043887,5.552997603364548e-07,0.9939226050823982,-4.048737800943503e-05
Decision Tree,8,0.9970682584537551,6.193916820258465e-07,0.9971167707832773,-4.851232952218787e-05
Logistic Regression,9,0.9883578829882674,1.5576533798822455e-06,0.9882409475082681,0.00011693547999935827
K-Nearest Neighbors,9,0.9960506359527872,6.783695460517046e-07,0.9960426265652825,8.009387504670507e-06
Support Vector Machine,9,0.9939184651755131,3.666730551470113e-07,0.9939226050823982,-4.139906885081146e-06
Decision Tree,9,0.997213635312928,3.675313797638038e-07,0.9971167707832773,9.686452965063097e-05
Logistic Regression,10,0.9881398002869817,1.530738095300402e-06,0.9882409475082681,-0.00010114722128640175
K-Nearest Neighbors,10,0.9960990739654962,4.692215599311782e-07,0.9960426265652825,5.644740021371053e-05
Support Vector Machine,10,0.9939669124321566,4.046631337377117e-07,0.9939226050823982,4.430734975846562e-05
Decision Tree,10,0.997310538788381,6.569885204151392e-07,0.9971167707832773,0.00019376800510373382
Logistic Regression,11,0.9885032579559611,2.4441068855133663e-06,0.9882409475082681,0.0002623104476929816
K-Nearest Neighbors,11,0.9960264101247226,8.421478122213475e-07,0.9960426265652825,-1.6216440559935208e-05
Support Vector Machine,11,0.9938942430187072,1.0552110983662402e-06,0.9939226050823982,-2.8362063690945405e-05
Decision Tree,11,0.9973105462805116,8.615635768096093e-07,0.9971167707832773,0.00019377549723431642
Logistic Regression,12,0.988297319639615,1.459520576744697e-06,0.9882409475082681,5.637213134690455e-05
K-Nearest Neighbors,12,0.9960021603580512,6.570983350803555e-07,0.9960426265652825,-4.046620723130445e-05
Support Vector Machine,12,0.9938821306015222,3.5730405835041764e-07,0.9939226050823982,-4.0474480875962726e-05
Decision Tree,12,0.9973226641049314,5.229673971240273e-07,0.9971167707832773,0.0002058933216541048
Logistic Regression,13,0.9885153697234714,2.439925652149688e-06,0.9882409475082681,0.00027442221520335153
K-Nearest Neighbors,13,0.9960869737351865,1.5411151504914467e-06,0.9960426265652825,4.434716990397991e-05
Support Vector Machine,13,0.993918470733097,7.804390577606891e-07,0.9939226050823982,-4.134349301132545e-06
Decision Tree,13,0.9973953461482652,9.945083429282106e-07,0.9971167707832773,0.0002785753649878764
Logistic Regression,14,0.988273071079374,2.349840316061641e-06,0.9882409475082681,3.2123571105935333e-05
K-Nearest Neighbors,14,0.9960506446140427,1.1236004631659749e-06,0.9960426265652825,8.0180487601611e-06
Support Vector Machine,14,0.9939427005521514,7.907485427228201e-07,0.9939226050823982,2.0095469753234063e-05
Decision Tree,14,0.9975043797998613,6.058908036002096e-07,0.9971167707832773,0.0003876090165839674
Logistic Regression,15,0.9883578654067479,2.1198539271825793e-06,0.9882409475082681,0.00011691789847978473
K-Nearest Neighbors,15,0.996123326670301,1.2621672510225407e-06,0.9960426265652825,8.070010501848301e-05
Support Vector Machine,15,0.9938942395057241,7.520168597953215e-07,0.9939226050823982,-2.8365576674072024e-05
Decision Tree,15,0.9975528499606274,1.1221547443393989e-06,0.9971167707832773,0.0004360791773501127
Logistic Regression,16,0.9885395888460146,2.6340737291643386e-06,0.9882409475082681,0.0002986413377464858
K-Nearest Neighbors,16,0.9960506428518836,1.225180001980645e-06,0.9960426265652825,8.016286601075784e-06
Support Vector Machine,16,0.9939426973220578,1.091955026027242e-06,0.9939226050823982,2.0092239659597055e-05
Decision Tree,16,0.9973589960383826,9.528518504006574e-07,0.9971167707832773,0.00024222525510531057
Logistic Regression,17,0.9886001535567409,2.854215446196328e-06,0.9882409475082681,0.00035920604847283766
K-Nearest Neighbors,17,0.9961354246498589,8.860158026796583e-07,0.9960426265652825,9.279808457640648e-05
Support Vector Machine,17,0.9939547886878204,6.98680872399107e-07,0.9939226050823982,3.218360542223131e-05
Decision Tree,17,0.9974680204064993,8.922157404094305e-07,0.9971167707832773,0.00035124962322197195
Logistic Regression,18,0.9884185158534906,4.224518104754169e-06,0.9882409475082681,0.00017756834522253406
K-Nearest Neighbors,18,0.9960627593481317,1.0538182987345437e-06,0.9960426265652825,2.013278284918041e-05
Support Vector Machine,18,0.9938821464385494,5.88714501727868e-07,0.9939226050823982,-4.045864384871756e-05
Decision Tree,18,0.9975165197827598,8.935312809078919e-07,0.9971167707832773,0.00039974899948247433
Logistic Regression,19,0.9883699778026213,3.387830779244872e-06,0.9882409475082681,0.00012903029435318292
K-Nearest Neighbors,19,0.9961354046797085,1.5148733944605942e-06,0.9960426265652825,9.277811442598427e-05
Support Vector Machine,19,0.9939063198338784,1.168210920563578e-06,0.9939226050823982,-1.6285248519709583e-05
Decision Tree,19,0.9974679947170662,8.368276690677423e-07,0.9971167707832773,0.00035122393378883565
Logistic Regression,20,0.9884789973806452,4.118666533219158e-06,0.9882409475082681,0.00023804987237707742
K-Nearest Neighbors,20,0.9961233266276347,1.168252239538489e-06,0.9960426265652825,8.070006235216809e-05
Support Vector Machine,20,0.9939184525050573,7.804695866895014e-07,0.9939226050823982,-4.152577340876817e-06
Decision Tree,20,0.9974195768131212,7.29574898503158e-07,0.9971167707832773,0.00030280602984389393
