Model,K,Training Accuracy,Variance,Test Accuracy,Bias
Logistic Regression,3,0.667976710334789,5.245047873906944e-05,0.6615724231618272,0.00640428717296182
K-Nearest Neighbors,3,0.5781659388646289,7.65940135898752e-06,0.5783664459161147,-0.00020050705148588754
Support Vector Machine,3,0.6585880640465794,6.452754312253551e-05,0.6588554932925794,-0.00026742924599998386
Decision Tree,3,0.603566229985444,8.655229474817157e-06,0.6140261504499915,-0.010459920464547579
Logistic Regression,4,0.6693595342066958,7.637683830929614e-05,0.6615724231618272,0.007787111044868622
K-Nearest Neighbors,4,0.5811499272197962,2.3873389989596735e-05,0.5783664459161147,0.0027834813036814454
Support Vector Machine,4,0.6587336244541485,0.00010353963925596805,0.6588554932925794,-0.00012186883843090524
Decision Tree,4,0.61608442503639,1.929681822323076e-05,0.6140261504499915,0.002058274586398512
Logistic Regression,5,0.6688500727802038,0.00013883327082922866,0.6615724231618272,0.007277649618376625
K-Nearest Neighbors,5,0.5846433770014556,8.886176846360666e-05,0.5783664459161147,0.006276931085340887
Support Vector Machine,5,0.6604803493449782,0.000143282715602084,0.6588554932925794,0.0016248560523988154
Decision Tree,5,0.6091703056768558,0.00011372568961096971,0.6140261504499915,-0.00485584477313572
Logistic Regression,6,0.6687772925764192,7.937491657291014e-05,0.6615724231618272,0.0072048694145919745
K-Nearest Neighbors,6,0.5839155749636098,6.784873582798847e-05,0.5783664459161147,0.005549129047495049
Support Vector Machine,6,0.6600436681222708,6.564520127381254e-05,0.6588554932925794,0.0011881748296913575
Decision Tree,6,0.6136098981077147,0.00011539423140079161,0.6140261504499915,-0.00041625234227682384
Logistic Regression,7,0.6675395946311554,7.946841935586693e-05,0.6615724231618272,0.005967171469328236
K-Nearest Neighbors,7,0.5857357027537475,0.00013906525594504693,0.5783664459161147,0.007369256837632787
Support Vector Machine,7,0.6585877246609976,9.583785292528373e-05,0.6588554932925794,-0.00026776863158184394
Decision Tree,7,0.6181950917961611,0.00012392679167215855,0.6140261504499915,0.004168941346169519
Logistic Regression,8,0.6686303692514016,0.00022532018835010764,0.6615724231618272,0.007057946089574441
K-Nearest Neighbors,8,0.5859553560471433,0.00013496111409321086,0.5783664459161147,0.007588910131028581
Support Vector Machine,8,0.6604800451283914,0.00011145701057161823,0.6588554932925794,0.0016245518358120048
