Model,K,Training Accuracy,Variance,Test Accuracy,Bias
Logistic Regression,3,0.7549552337204983,3.057650530769321e-05,0.7614711658632387,-0.006515932142740377
K-Nearest Neighbors,3,0.9161245935330061,5.491784358740909e-06,0.9410819496518479,-0.024957356118841756
Support Vector Machine,3,0.9213281441911022,2.3968975367132057e-05,0.9398321728262811,-0.01850402863517886
Decision Tree,3,0.8214587337382452,1.874045996075134e-06,0.8548473486877344,-0.03338861494948919
Logistic Regression,4,0.7574043896066943,4.890748363524701e-05,0.7614711658632387,-0.004066776256544391
K-Nearest Neighbors,4,0.9251555198292938,4.084549502915475e-05,0.9410819496518479,-0.0159264298225541
Support Vector Machine,4,0.9280630583517072,1.7052004376891267e-05,0.9398321728262811,-0.01176911447457385
Decision Tree,4,0.8360751739780855,5.0951908044992396e-05,0.8548473486877344,-0.01877217470964887
Logistic Regression,5,0.7569446921123885,9.496987117375619e-05,0.7614711658632387,-0.004526473750850246
K-Nearest Neighbors,5,0.9278335823677212,4.0597310766097945e-05,0.9410819496518479,-0.013248367284126705
Support Vector Machine,5,0.930128856629102,1.4036783173294065e-05,0.9398321728262811,-0.009703316197179013
Decision Tree,5,0.8382939050846643,7.209754444972104e-05,0.8548473486877344,-0.016553443603070095
Logistic Regression,6,0.7580937364626346,9.54906336727434e-05,0.7614711658632387,-0.0033774294006041483
K-Nearest Neighbors,6,0.9278341452413361,5.9110413356541434e-05,0.9410819496518479,-0.013247804410511765
Support Vector Machine,6,0.9331140781009241,4.085638028528596e-05,0.9398321728262811,-0.0067180947253570045
Decision Tree,6,0.8413568740958391,0.00019340951481816346,0.8548473486877344,-0.01349047459189523
Logistic Regression,7,0.7575569917997286,0.00011838212750022631,0.7614711658632387,-0.003914174063510134
K-Nearest Neighbors,7,0.9289055853845901,4.242539576332192e-05,0.9410819496518479,-0.012176364267257767
Support Vector Machine,7,0.932042534238054,4.2831307901077685e-05,0.9398321728262811,-0.00778963858822701
Decision Tree,7,0.8438040175416539,4.072437734082362e-05,0.8548473486877344,-0.01104333114608047
Logistic Regression,8,0.7565619422993176,0.00013399644775740678,0.7614711658632387,-0.004909223563921095
K-Nearest Neighbors,8,0.9310484266891328,4.1495513373626014e-05,0.9410819496518479,-0.010033522962715091
Support Vector Machine,8,0.9339552628955576,2.4097164851796476e-05,0.9398321728262811,-0.0058769099307234285
Decision Tree,8,0.8464064213389538,3.4963832011711484e-05,0.8548473486877344,-0.008440927348780547
Logistic Regression,9,0.7584773132827766,0.00022584409665491896,0.7614711658632387,-0.002993852580462142
K-Nearest Neighbors,9,0.9318134881382798,2.196481700847263e-05,0.9410819496518479,-0.009268461513568083
Support Vector Machine,9,0.9344152107293513,4.8638945292743696e-05,0.9398321728262811,-0.005416962096929767
Decision Tree,9,0.8459475717009707,0.00010600325436927671,0.8548473486877344,-0.008899776986763697
Logistic Regression,10,0.756944407015587,0.00023255748494530274,0.7614711658632387,-0.004526758847651746
K-Nearest Neighbors,10,0.9321199548666563,3.2092383709356224e-05,0.9410819496518479,-0.008961994785191552
Support Vector Machine,10,0.9352565582193184,2.4998054751884474e-05,0.9398321728262811,-0.004575614606962652
Decision Tree,10,0.8470184107017109,5.673358864872673e-05,0.8548473486877344,-0.007828937986023465
Logistic Regression,11,0.7574064661833674,0.00020485402847474025,0.7614711658632387,-0.004064699679871331
K-Nearest Neighbors,11,0.9325020519973418,6.524955012668134e-05,0.9410819496518479,-0.008579897654506063
