Model,K,Training Accuracy,Variance,Test Accuracy,Bias
Logistic Regression,3,0.8799753393830961,9.497753337051444e-06,0.8752738917916737,0.004701447591422436
K-Nearest Neighbors,3,0.8813480477607843,3.5283597238230213e-06,0.880077532445643,0.0012705153151413295
Support Vector Machine,3,0.8867658037024162,5.369982568484886e-06,0.8837013315354795,0.003064472166936727
Decision Tree,3,0.9180812113753677,9.704194072675606e-06,0.9254171582673184,-0.007335946891950718
Logistic Regression,4,0.8801557374657258,1.8445353229688382e-05,0.8752738917916737,0.004881845674052143
K-Nearest Neighbors,4,0.8808061151691682,1.404293401540416e-06,0.880077532445643,0.0007285827235251618
Support Vector Machine,4,0.8869462305030718,1.4149204445770392e-05,0.8837013315354795,0.00324489896759228
Decision Tree,4,0.9181536572757116,4.18762070730802e-06,0.9254171582673184,-0.007263500991606775
Logistic Regression,5,0.8796501463316513,1.8284376259023392e-05,0.8752738917916737,0.0043762545399775865
K-Nearest Neighbors,5,0.8804810385213158,2.1746112212930758e-06,0.880077532445643,0.00040350607567274377
Support Vector Machine,5,0.886910193371973,1.3699820122263111e-05,0.8837013315354795,0.003208861836493493
Decision Tree,5,0.9184426211063913,9.334843411177313e-06,0.9254171582673184,-0.006974537160927108
Logistic Regression,6,0.8800112647252706,2.37668732859046e-05,0.8752738917916737,0.004737372933596884
K-Nearest Neighbors,6,0.8808060649806836,1.0831074572984103e-05,0.880077532445643,0.0007285325350405714
Support Vector Machine,6,0.8871268344509612,1.289578599131126e-05,0.8837013315354795,0.003425502915481715
Decision Tree,6,0.9191646930698929,6.454640976582276e-06,0.9254171582673184,-0.006252465197425505
Logistic Regression,7,0.8798667498890176,2.0739818285491083e-05,0.8752738917916737,0.004592858097343888
K-Nearest Neighbors,7,0.881022701769309,1.0965167564388027e-05,0.880077532445643,0.0009451693236659509
Support Vector Machine,7,0.8871628641076768,1.6427994347512847e-05,0.8837013315354795,0.003461532572197279
Decision Tree,7,0.9192368628509414,2.2726542803567623e-05,0.9254171582673184,-0.006180295416376991
Logistic Regression,8,0.879794443618654,3.0383436200716162e-05,0.8752738917916737,0.004520551826980301
K-Nearest Neighbors,8,0.8809142709932143,1.286922134279466e-05,0.880077532445643,0.0008367385475712696
Support Vector Machine,8,0.887487901939531,3.015758441639985e-05,0.8837013315354795,0.0037865704040515036
Decision Tree,8,0.9189123582679335,4.447429399637411e-05,0.9254171582673184,-0.006504799999384914
Logistic Regression,9,0.8799388868767661,2.8813440437231506e-05,0.8752738917916737,0.004664995085092438
K-Nearest Neighbors,9,0.8806976943044997,1.761412479858502e-05,0.880077532445643,0.0006201618588567159
Support Vector Machine,9,0.8869099062510434,2.9125805049756198e-05,0.8837013315354795,0.0032085747155639055
Decision Tree,9,0.9167810782696044,1.991052863668077e-05,0.9254171582673184,-0.008636079997713986
Logistic Regression,10,0.8799026353914208,3.171043816819428e-05,0.8752738917916737,0.004628743599747076
K-Nearest Neighbors,10,0.8808059059112343,1.7861141393814097e-05,0.880077532445643,0.0007283734655912921
Support Vector Machine,10,0.8871268164045784,2.4637635887520074e-05,0.8837013315354795,0.0034254848690988826
Decision Tree,10,0.9184788701081544,1.2700516918413932e-05,0.9254171582673184,-0.0069382881591639745
Logistic Regression,11,0.8798670127107342,2.7747753881158977e-05,0.8752738917916737,0.0045931209190605005
K-Nearest Neighbors,11,0.8806977418419613,1.9136507867180576e-05,0.880077532445643,0.0006202093963182387
Support Vector Machine,11,0.886729726227027,3.041199368656335e-05,0.8837013315354795,0.0030283946915474758
Decision Tree,11,0.920320459407608,3.030838916350761e-05,0.9254171582673184,-0.005096698859710425
Logistic Regression,12,0.8798303871095855,3.7923708971782556e-05,0.8752738917916737,0.004556495317911802
K-Nearest Neighbors,12,0.881492278417205,2.9827795349233835e-05,0.880077532445643,0.0014147459715619926
