Model,K,Training Accuracy,Variance,Test Accuracy,Bias
Logistic Regression,3,0.8411214953271028,0.0006987509826185695,0.8659420289855072,-0.02482053365840442
K-Nearest Neighbors,3,0.839563862928349,0.0001358682466202774,0.8804347826086957,-0.04087091968034673
Support Vector Machine,3,0.8286604361370716,0.0002959986801370321,0.8876811594202898,-0.05902072328321817
Decision Tree,3,0.7803738317757009,0.0003057035548956235,0.7572463768115942,0.02312745496410662
Logistic Regression,4,0.8317158385093167,0.00040806907888391605,0.8659420289855072,-0.034226190476190466
K-Nearest Neighbors,4,0.8348505434782608,0.00021664864440873224,0.8804347826086957,-0.045584239130434856
Support Vector Machine,4,0.839547748447205,0.00022598515606916172,0.8876811594202898,-0.04813341097308477
Decision Tree,4,0.7865295031055901,0.0008947393643185045,0.7572463768115942,0.029283126293995876
Logistic Regression,5,0.8395348837209301,0.0010483986158997352,0.8659420289855072,-0.026407145264577103
K-Nearest Neighbors,5,0.8473231589147285,0.0008038081770927227,0.8804347826086957,-0.03311162369396714
Support Vector Machine,5,0.8395712209302324,0.0010124566441695208,0.8876811594202898,-0.0481099384900574
Decision Tree,5,0.7896438953488372,0.00094946158490325,0.7572463768115942,0.03239751853724293
Logistic Regression,6,0.8364485981308412,0.0007497015751011735,0.8659420289855072,-0.029493430854666047
K-Nearest Neighbors,6,0.8395638629283488,0.00015770421482710767,0.8804347826086957,-0.04087091968034684
Support Vector Machine,6,0.8473520249221185,0.0003687852408264672,0.8876811594202898,-0.040329134498171326
Decision Tree,6,0.8021806853582554,0.0009146844459972246,0.7572463768115942,0.04493430854666114
Logistic Regression,7,0.8395160739881237,0.0012958201315068408,0.8659420289855072,-0.02642595499738354
K-Nearest Neighbors,7,0.8379803426387277,0.0007316302461398874,0.8804347826086957,-0.042454439969968005
Support Vector Machine,7,0.8441915227629513,0.000819834723865186,0.8876811594202898,-0.043489636657338515
Decision Tree,7,0.7819773394307555,0.000723236419525778,0.7572463768115942,0.0247309626191613
Logistic Regression,8,0.830150462962963,0.0014232594682355962,0.8659420289855072,-0.035791566022544186
K-Nearest Neighbors,8,0.83804012345679,0.001155412903901844,0.8804347826086957,-0.042394659151905656
Support Vector Machine,8,0.841087962962963,0.0009751618822397498,0.8876811594202898,-0.046593196457326846
Decision Tree,8,0.7787808641975309,0.003089759802240512,0.7572463768115942,0.021534487385936663
Logistic Regression,9,0.8363980177360459,0.001989719961609725,0.8659420289855072,-0.029544011249461266
K-Nearest Neighbors,9,0.8348765432098766,0.0010513280506945619,0.8804347826086957,-0.04555823939881909
Support Vector Machine,9,0.8457659537471743,0.0006169583549930944,0.8876811594202898,-0.04191520567311546
Decision Tree,9,0.7740827682142236,0.0013631486934405073,0.7572463768115942,0.01683639140262938
Logistic Regression,10,0.8395192307692309,0.0016714959319526624,0.8659420289855072,-0.026422798216276355
K-Nearest Neighbors,10,0.8395432692307694,0.0017153667021079886,0.8804347826086957,-0.04089151337792629
Support Vector Machine,10,0.8488461538461539,0.00113812638683432,0.8876811594202898,-0.038835005574135883
Decision Tree,10,0.7787499999999999,0.0026016341531065086,0.7572463768115942,0.021503623188405707
Logistic Regression,11,0.8394878061739547,0.0026259277653980792,0.8659420289855072,-0.02645422281155252
K-Nearest Neighbors,11,0.8488921948886881,0.0015478726718155457,0.8804347826086957,-0.03154258772000762
Support Vector Machine,11,0.8411349025025238,0.0012337194744022296,0.8876811594202898,-0.04654625691776604
Decision Tree,11,0.7708676478401787,0.0034771345098876,0.7572463768115942,0.013621271028584458
Logistic Regression,12,0.8315571861169345,0.0027731194040168214,0.8659420289855072,-0.034384842868572685
K-Nearest Neighbors,12,0.8425052410901467,0.002663663813794677,0.8804347826086957,-0.03792954151854899
Support Vector Machine,12,0.8425925925925927,0.0008115672841378127,0.8876811594202898,-0.04508856682769713
Decision Tree,12,0.7816212438853948,0.0030775889699367603,0.7572463768115942,0.024374867073800544
Logistic Regression,13,0.8363893249607537,0.003415444748120235,0.8659420289855072,-0.029552704024753518
K-Nearest Neighbors,13,0.8425745682888538,0.004138644401124775,0.8804347826086957,-0.03786021431984188
Support Vector Machine,13,0.8457770800627945,0.002127673627112964,0.8876811594202898,-0.041904079357495294
Decision Tree,13,0.7676609105180533,0.005702115242909144,0.7572463768115942,0.010414533706459062
Logistic Regression,14,0.8347481021394065,0.0041755088228668195,0.8659420289855072,-0.031193926846100672
K-Nearest Neighbors,14,0.841097308488613,0.0020121977937712916,0.8804347826086957,-0.039337474120082705
Support Vector Machine,14,0.8394409937888199,0.0013825495891838485,0.8876811594202898,-0.04824016563146993
Decision Tree,14,0.7754313319530711,0.005281332024513229,0.7572463768115942,0.01818495514147689
Logistic Regression,15,0.8362864525655224,0.001940157911210474,0.8659420289855072,-0.02965557641998484
K-Nearest Neighbors,15,0.8410483573274271,0.0027203716853205617,0.8804347826086957,-0.03938642528126857
Support Vector Machine,15,0.8440753045404209,0.001047073718015539,0.8876811594202898,-0.0436058548798689
