Model,K,Training Accuracy,Variance,Test Accuracy,Bias
Logistic Regression,3,0.5411255411255411,3.0452952530874593e-05,0.5290159798149706,0.012109561310570505
K-Nearest Neighbors,3,0.4996392496392496,0.00025091150632276094,0.5079899074852817,-0.008350657846032117
Support Vector Machine,3,0.5692640692640693,2.186365822729423e-05,0.5416316232127838,0.027632446051285453
Decision Tree,3,0.4386724386724386,5.101520253035385e-05,0.41968040370058873,0.01899203497184987
Logistic Regression,4,0.5429292929292929,1.0801688290865855e-05,0.5290159798149706,0.013913313114322312
K-Nearest Neighbors,4,0.5093795093795094,0.00041540950631859723,0.5079899074852817,0.0013896018942276545
Support Vector Machine,4,0.5634920634920635,0.0002930771329039731,0.5416316232127838,0.02186044027927969
Decision Tree,4,0.43686868686868685,0.00034083881486478913,0.41968040370058873,0.017188283168098117
Logistic Regression,5,0.5432913780206199,0.0002493057500346405,0.5290159798149706,0.01427539820564927
K-Nearest Neighbors,5,0.5119120564607929,0.0008061427229581347,0.5079899074852817,0.0039221489755111305
Support Vector Machine,5,0.5595206036361271,0.0007184457213241565,0.5416316232127838,0.017888980423343304
Decision Tree,5,0.44263570429635407,0.00029432474095132026,0.41968040370058873,0.022955300595765338
Logistic Regression,6,0.5418470418470418,8.537237974467404e-05,0.5290159798149706,0.012831062032071183
K-Nearest Neighbors,6,0.5108225108225107,0.000774598177195579,0.5079899074852817,0.0028326033372290116
Support Vector Machine,6,0.564935064935065,0.0004903706202407502,0.5416316232127838,0.02330344172228116
Decision Tree,6,0.44480519480519476,7.457069145380824e-05,0.41968040370058873,0.025124791104606026
Logistic Regression,7,0.5429292929292929,0.0004992201961898938,0.5290159798149706,0.013913313114322312
K-Nearest Neighbors,7,0.509018759018759,0.0005153576582148006,0.5079899074852817,0.0010288515334773152
Support Vector Machine,7,0.5634920634920635,0.000680376221501762,0.5416316232127838,0.02186044027927969
Decision Tree,7,0.4404761904761904,0.0002839672753092662,0.41968040370058873,0.020795786775601677
Logistic Regression,8,0.5450923272975629,0.0006002559544020559,0.5290159798149706,0.016076347482592235
K-Nearest Neighbors,8,0.5104727140977162,0.0005686061936452337,0.5079899074852817,0.002482806612434496
Support Vector Machine,8,0.5624125451849877,0.0005315089817781666,0.5416316232127838,0.020780921972203936
Decision Tree,8,0.4256915177158468,0.0005306039796885785,0.41968040370058873,0.006011114015258057
Logistic Regression,9,0.5468975468975469,0.00040786133859726907,0.5290159798149706,0.017881567082576266
K-Nearest Neighbors,9,0.5104617604617605,0.0008053114113720181,0.5079899074852817,0.0024718529764787833
Support Vector Machine,9,0.5638528138528138,0.0004521092183429846,0.5416316232127838,0.02222119064003003
Decision Tree,9,0.43867243867243866,0.0009778781423803071,0.41968040370058873,0.018992034971849925
Logistic Regression,10,0.5414811832844194,0.0005936588038275503,0.5290159798149706,0.012465203469448793
K-Nearest Neighbors,10,0.5126483650624627,0.0007959959640872549,0.5079899074852817,0.004658457577180974
Support Vector Machine,10,0.558429213308054,0.0006257665389088304,0.5416316232127838,0.016797590095270154
Decision Tree,10,0.4321845051034984,0.0006449802960005405,0.41968040370058873,0.01250410140290964
Logistic Regression,11,0.5465367965367965,0.0010223863037715846,0.5290159798149706,0.017520816721825927
K-Nearest Neighbors,11,0.5155122655122655,0.000831599857573884,0.5079899074852817,0.007522358026983755
Support Vector Machine,11,0.5634920634920634,0.0011910488100964284,0.5416316232127838,0.02186044027927958
Decision Tree,11,0.439033189033189,0.0005991683480860971,0.41968040370058873,0.019352785332600264
Logistic Regression,12,0.5447330447330448,0.0011551299430087318,0.5290159798149706,0.01571706491807423
K-Nearest Neighbors,12,0.509018759018759,0.0008260038021942788,0.5079899074852817,0.0010288515334773152
Support Vector Machine,12,0.5674603174603174,0.0007041919920707808,0.5416316232127838,0.025828694247533646
Decision Tree,12,0.4271284271284272,0.0007850094430181011,0.41968040370058873,0.007448023427838457
Logistic Regression,13,0.5454497895593065,0.000988611227999695,0.5290159798149706,0.016433809744335837
K-Nearest Neighbors,13,0.51121731587705,0.0007016364242452072,0.5079899074852817,0.0032274083917682717
Support Vector Machine,13,0.5652838671135367,0.0009831524132304999,0.5416316232127838,0.023652243900752934
Decision Tree,13,0.44479771029724957,0.0012584259958942688,0.41968040370058873,0.025117306596660838
Logistic Regression,14,0.5429292929292929,0.0009355823749763143,0.5290159798149706,0.013913313114322312
K-Nearest Neighbors,14,0.5046897546897547,0.0007341243813105284,0.5079899074852817,-0.0033001527955269783
Support Vector Machine,14,0.5627705627705627,0.001055702354403654,0.5416316232127838,0.021138939557778902
Decision Tree,14,0.4451659451659452,0.0006808967847928887,0.41968040370058873,0.025485541465356476
Logistic Regression,15,0.5436623580101841,0.00133707521193088,0.5290159798149706,0.014646378195213527
K-Nearest Neighbors,15,0.5101292596944772,0.0016311668767832871,0.5079899074852817,0.0021393522091954775
Support Vector Machine,15,0.5627986682334509,0.0011807953025318786,0.5416316232127838,0.02116704502066713
Decision Tree,15,0.4466137877007442,0.001238663537087386,0.41968040370058873,0.02693338400015549
Logistic Regression,16,0.5443720516909175,0.0013501030971296596,0.5290159798149706,0.015356071875946897
K-Nearest Neighbors,16,0.5119344229619295,0.00173729885406207,0.5079899074852817,0.003944515476647759
Support Vector Machine,16,0.5631187296525147,0.0006626307564004886,0.5416316232127838,0.021487106439730952
Decision Tree,16,0.45021302571257726,0.001355103895005988,0.41968040370058873,0.03053262201198853
Logistic Regression,17,0.5440384293774371,0.0010067659464832032,0.5290159798149706,0.015022449562466456
K-Nearest Neighbors,17,0.5104875408191107,0.001352981835208063,0.5079899074852817,0.002497633333829019
Support Vector Machine,17,0.5602450466944222,0.0008578165326452644,0.5416316232127838,0.018613423481638414
Decision Tree,17,0.43904859564654825,0.0011988493331777663,0.41968040370058873,0.019368191945959512
Logistic Regression,18,0.5443722943722943,0.0011162178369970581,0.5290159798149706,0.01535631455732367
K-Nearest Neighbors,18,0.5151515151515151,0.001658514645527632,0.5079899074852817,0.007161607666233416
Support Vector Machine,18,0.5656565656565656,0.0011801169809827821,0.5416316232127838,0.024024942443781838
Decision Tree,18,0.4397546897546898,0.000870511963585556,0.41968040370058873,0.020074286054101054
Logistic Regression,19,0.5447355990353779,0.0008491102053346439,0.5290159798149706,0.01571961922040732
K-Nearest Neighbors,19,0.5144444720682196,0.0015967689105714081,0.5079899074852817,0.006454564582937916
Support Vector Machine,19,0.5627974044700793,0.001085266905727417,0.5416316232127838,0.021165781257295513
Decision Tree,19,0.44156328468786515,0.0016017652214170154,0.41968040370058873,0.02188288098727642
Logistic Regression,20,0.5454175789802939,0.0015093245880373398,0.5290159798149706,0.016401599165323244
K-Nearest Neighbors,20,0.5123032009175268,0.0011970179333814644,0.5079899074852817,0.004313293432245069
Support Vector Machine,20,0.5634944218538211,0.0019624257822665717,0.5416316232127838,0.02186279864103735
Decision Tree,20,0.4300620373266605,0.0011430195645743676,0.41968040370058873,0.010381633626071751
